#{"t_start": 1529884717.1265337, "env_id": "Breakout-ramNoFrameskip-v4"}
r,l,t
0.0,142,2.390785
2.0,205,2.812689
2.0,236,3.297097
0.0,136,3.578366
0.0,132,3.859634
3.0,255,4.390919
2.0,216,4.828449
0.0,134,5.109717
1.0,177,5.469117
2.0,198,5.875394
0.0,139,6.172289
0.0,126,6.437932
2.0,225,6.906713
4.0,306,7.531756
3.0,286,8.109919
2.0,259,8.641204
3.0,251,9.156863
1.0,162,9.500635
3.0,236,9.985044
3.0,277,10.547582
1.0,185,10.938243
1.0,160,11.266388
0.0,143,11.563275
1.0,184,11.9383
1.0,154,12.266535
1.0,158,12.594593
3.0,229,13.063375
0.0,135,13.344645
2.0,230,13.829052
0.0,135,14.11032
1.0,177,14.469719
2.0,185,14.860369
12.0,447,15.766681
0.0,148,16.079202
1.0,178,16.454226
2.0,210,16.87613
1.0,179,17.251155
0.0,143,17.54806
3.0,246,18.048084
2.0,227,18.516865
1.0,185,18.907517
1.0,179,19.28255
1.0,191,19.673192
0.0,143,19.970086
2.0,211,20.407616
0.0,128,20.673259
0.0,125,20.938901
2.0,197,21.345187
0.0,128,21.610823
1.0,178,21.985845
1.0,202,22.407751
1.0,159,22.734478
3.0,274,23.73479
0.0,129,24.172064
1.0,174,24.765854
1.0,193,25.422148
0.0,129,25.859677
0.0,130,26.312831
2.0,220,27.062892
0.0,132,27.516038
3.0,277,28.453601
1.0,185,29.078642
1.0,152,29.594311
1.0,179,30.203718
2.0,189,30.844385
1.0,172,31.438175
1.0,181,32.047591
0.0,146,32.547625
3.0,256,33.422683
0.0,147,33.922716
1.0,161,34.485254
3.0,268,35.375939
1.0,180,36.00098
3.0,285,36.95418
2.0,227,37.719844
2.0,230,38.501149
0.0,132,38.954302
4.0,301,39.985623
1.0,180,40.595037
3.0,251,41.438843
1.0,178,42.04827
4.0,304,43.07958
1.0,156,43.610865
1.0,179,44.22028
4.0,310,45.251599
2.0,201,45.939145
0.0,142,46.439179
1.0,162,46.98609
0.0,132,47.439246
1.0,166,48.001811
0.0,126,48.439313
2.0,199,49.111234
1.0,181,49.720649
1.0,192,50.376942
1.0,177,50.986358
4.0,261,51.861532
2.0,223,52.627093
3.0,268,53.533404
1.0,180,54.142819
0.0,147,54.642852
0.0,136,55.111634
8.0,364,56.330465
1.0,155,56.877377
1.0,188,57.721183
0.0,150,58.236844
3.0,245,59.065026
3.0,261,59.959334
3.0,272,60.881271
0.0,139,61.350052
1.0,185,61.975094
0.0,137,62.443944
1.0,155,62.975171
1.0,184,63.615838
1.0,191,64.272123
0.0,141,64.740914
2.0,246,65.584711
8.0,342,66.741037
1.0,198,67.412958
0.0,142,67.897375
0.0,144,68.397399
0.0,142,68.881873
0.0,127,69.30372
2.0,190,69.960003
2.0,193,70.616306
0.0,133,71.069451
0.0,137,71.538234
1.0,195,72.210153
1.0,183,72.835195
6.0,332,73.944645
2.0,233,74.741575
0.0,138,75.210365
0.0,134,75.663509
0.0,136,76.132291
3.0,261,77.038602
1.0,179,77.648017
0.0,130,78.101173
1.0,180,78.710588
2.0,200,79.398134
3.0,262,80.288829
0.0,136,80.7576
4.0,316,81.820172
0.0,139,82.304579
0.0,132,82.757744
0.0,130,83.226515
0.0,164,83.820305
2.0,198,84.507853
0.0,130,84.961007
2.0,206,85.664189
2.0,213,86.382977
1.0,165,86.945515
0.0,145,87.445557
2.0,200,88.133094
1.0,179,88.742509
4.0,307,89.773828
1.0,179,90.383244
0.0,138,90.867652
1.0,211,91.570823
1.0,182,92.195875
1.0,166,92.758403
4.0,314,93.820974
2.0,210,94.539773
1.0,173,95.133562
1.0,160,95.680474
2.0,187,96.321141
0.0,137,96.789933
2.0,200,97.475822
1.0,174,98.069622
2.0,205,98.757159
2.0,240,99.585339
1.0,176,100.179128
1.0,178,100.788546
0.0,152,101.319839
1.0,162,101.866741
0.0,150,102.382401
2.0,217,103.116835
1.0,207,103.819997
7.0,331,104.945072
3.0,252,105.788879
3.0,232,106.585807
4.0,293,107.570258
0.0,140,108.054664
1.0,178,108.648455
0.0,146,109.148478
0.0,130,109.601634
3.0,259,110.476702
1.0,170,111.054856
1.0,179,111.664272
2.0,212,112.398695
0.0,140,112.883113
0.0,142,113.36752
0.0,136,113.836303
10.0,447,115.352028
3.0,285,116.305208
0.0,150,116.820867
2.0,201,117.508413
1.0,197,118.180528
1.0,184,118.805384
1.0,198,119.477304
1.0,211,120.196103
1.0,158,120.743014
0.0,130,121.196159
0.0,153,121.711828
1.0,162,122.274357
2.0,221,123.024417
0.0,153,123.540066
3.0,262,124.43076
2.0,237,125.243315
0.0,138,125.712087
0.0,130,126.149616
0.0,127,126.587144
3.0,256,127.462204
0.0,126,127.899733
1.0,173,128.493523
2.0,253,129.352956
0.0,135,129.853001
4.0,341,131.040577
3.0,256,131.915636
1.0,181,132.556293
0.0,140,133.056328
1.0,171,133.665742
2.0,203,134.360154
0.0,133,134.813318
0.0,138,135.282091
2.0,192,135.938393
0.0,149,136.454044
1.0,175,137.032208
1.0,182,137.657249
4.0,298,138.672952
0.0,153,139.204228
2.0,227,139.970014
2.0,211,140.688712
1.0,181,141.298128
2.0,251,142.157551
3.0,225,142.923227
3.0,241,143.735791
0.0,153,144.267076
0.0,151,144.782736
0.0,138,145.267133
3.0,256,146.142193
1.0,159,146.689114
3.0,249,147.53292
0.0,130,147.97044
1.0,155,148.501724
1.0,184,149.126776
2.0,216,149.861201
0.0,146,150.361235
2.0,199,151.048772
3.0,298,152.048836
1.0,172,152.642637
