#{"t_start": 1529888270.6923687, "env_id": "Breakout-ramNoFrameskip-v4"}
r,l,t
0.0,144,2.359393
1.0,169,2.703167
1.0,177,3.062566
0.0,141,3.343834
7.0,435,4.218893
0.0,126,4.484599
0.0,135,4.750178
2.0,199,5.156456
4.0,268,5.703367
1.0,179,6.062766
3.0,255,6.578426
0.0,138,6.859694
2.0,199,7.265971
1.0,164,7.609745
2.0,231,8.078526
2.0,200,8.484804
1.0,153,8.797324
1.0,179,9.156732
1.0,165,9.500496
4.0,287,10.07866
0.0,137,10.359928
0.0,131,10.625582
3.0,276,11.18811
2.0,213,11.610013
2.0,206,12.031926
1.0,166,12.375689
2.0,186,12.75085
2.0,236,13.219495
0.0,134,13.500773
2.0,228,13.953919
1.0,152,14.26644
0.0,129,14.532083
1.0,165,14.875856
1.0,171,15.219629
1.0,165,15.563402
0.0,127,15.829045
0.0,134,16.094696
1.0,163,16.422834
2.0,231,16.891616
0.0,134,17.172884
2.0,191,17.563545
0.0,146,17.86043
2.0,221,18.313595
0.0,129,18.579229
0.0,133,18.84488
1.0,167,19.188644
2.0,203,19.594922
0.0,123,19.860575
1.0,158,20.188711
0.0,130,20.454368
0.0,140,20.735633
0.0,128,21.001265
0.0,138,21.282535
4.0,278,21.845072
0.0,125,22.09509
2.0,225,22.735756
2.0,211,23.423303
1.0,161,23.954589
4.0,282,24.876525
0.0,136,25.314055
1.0,184,25.92347
0.0,132,26.360999
2.0,228,27.095424
2.0,190,27.736091
1.0,153,28.236125
1.0,165,28.767421
0.0,129,29.20494
4.0,301,30.173755
2.0,227,30.908178
0.0,133,31.345707
3.0,288,32.28327
2.0,207,32.95519
1.0,197,33.611495
2.0,223,34.345909
4.0,287,35.283472
1.0,173,35.846008
2.0,221,36.573999
6.0,404,37.886596
0.0,135,38.339743
2.0,210,39.027297
8.0,386,40.277371
0.0,158,40.808656
1.0,184,41.402447
2.0,220,42.136871
1.0,180,42.730661
0.0,130,43.16819
1.0,183,43.761988
1.0,193,44.413282
0.0,128,44.843488
0.0,146,45.321786
2.0,237,46.084444
1.0,167,46.631551
6.0,358,47.812758
3.0,267,48.687814
0.0,139,49.156596
4.0,311,50.172288
1.0,186,50.781705
4.0,329,51.844275
0.0,151,52.344477
2.0,246,53.141237
0.0,147,53.625645
2.0,246,54.422573
0.0,145,54.90698
1.0,178,55.65703
1.0,163,56.188316
1.0,172,56.750854
0.0,141,57.219635
0.0,126,57.625912
0.0,129,58.063442
0.0,144,58.532223
1.0,190,59.157265
2.0,223,59.891689
2.0,202,60.563608
0.0,134,61.001139
9.0,395,62.282474
1.0,180,62.876264
0.0,144,63.360671
0.0,132,63.782574
0.0,152,64.282608
0.0,127,64.704511
3.0,252,65.532691
0.0,139,65.985847
3.0,285,66.923419
1.0,172,67.485947
4.0,301,68.486014
0.0,142,68.954795
3.0,248,69.751724
0.0,138,70.220515
2.0,184,70.829921
3.0,236,71.595597
1.0,190,72.220639
0.0,156,72.736298
0.0,152,73.236332
1.0,208,73.923878
4.0,292,74.877066
1.0,176,75.462338
0.0,141,75.922676
0.0,142,76.391457
2.0,266,77.25089
0.0,126,77.672793
0.0,144,78.141574
1.0,177,78.735364
1.0,185,79.329154
1.0,184,79.938569
0.0,166,80.485482
0.0,134,80.923011
3.0,281,81.844947
0.0,145,82.329355
0.0,144,82.798136
5.0,365,83.985716
5.0,363,85.173295
0.0,144,85.642076
0.0,148,86.126483
1.0,179,86.720273
2.0,228,87.454697
3.0,233,88.220373
0.0,137,88.673529
5.0,339,89.782978
4.0,303,90.767419
0.0,145,91.251826
0.0,143,91.720608
1.0,165,92.251893
1.0,160,92.783179
0.0,150,93.267586
5.0,299,94.252027
