#{"t_start": 1529973679.6536245, "env_id": "Breakout-ramNoFrameskip-v4"}
r,l,t
3.0,258,2.515799
1.0,175,2.87518
2.0,204,3.265831
1.0,184,3.640856
0.0,138,3.922125
1.0,186,4.29715
0.0,144,4.594045
1.0,162,4.922192
6.0,390,5.687868
2.0,189,6.062894
0.0,134,6.344162
2.0,203,6.750439
1.0,161,7.06296
1.0,173,7.422359
0.0,130,7.688001
1.0,157,8.000524
2.0,216,8.422426
3.0,248,8.922459
1.0,165,9.266233
1.0,158,9.59438
0.0,132,9.860022
1.0,174,10.216017
0.0,129,10.470073
3.0,278,11.014196
2.0,212,11.445292
0.0,134,11.707921
2.0,228,12.161076
0.0,134,12.442354
0.0,131,12.707998
3.0,282,13.254904
2.0,201,13.661187
0.0,129,13.911193
1.0,160,14.23934
0.0,146,14.536236
1.0,155,14.864383
1.0,179,15.223781
2.0,208,15.645695
3.0,250,16.145718
5.0,328,16.802011
2.0,204,17.223736
1.0,178,17.598761
0.0,126,17.864403
3.0,232,18.333184
0.0,130,18.5832
0.0,134,18.864469
1.0,160,19.176991
1.0,174,19.536389
0.0,127,19.786416
1.0,157,20.098927
0.0,126,20.36457
1.0,176,20.752322
3.0,257,21.333453
1.0,177,21.694392
1.0,174,22.041374
0.0,129,22.411896
2.0,185,22.984603
0.0,138,23.41733
2.0,235,24.146576
2.0,233,24.876731
0.0,132,25.290824
3.0,247,26.052995
3.0,255,26.841173
0.0,131,27.280272
0.0,139,27.727372
0.0,138,28.165471
0.0,141,28.626575
2.0,234,29.356739
1.0,181,29.908501
1.0,162,30.407215
1.0,182,30.9724
2.0,232,31.703523
0.0,154,32.191748
2.0,204,32.822832
2.0,207,33.458963
0.0,138,33.898063
2.0,188,34.484194
1.0,164,35.001201
0.0,139,35.434576
0.0,146,35.898682
0.0,143,36.345782
3.0,275,37.189121
2.0,202,37.820867
1.0,180,38.390319
2.0,198,39.000806
0.0,154,39.480914
1.0,161,39.980822
2.0,235,40.70031
2.0,208,41.341112
3.0,247,42.099557
1.0,177,42.649681
1.0,155,43.139496
0.0,132,43.561795
0.0,139,43.989891
0.0,135,44.421989
2.0,225,45.123838
0.0,143,45.568866
1.0,180,46.126992
0.0,133,46.537085
2.0,204,47.168807
2.0,224,47.861437
