#{"t_start": 1529846274.786482, "env_id": "Breakout-ramNoFrameskip-v4"}
r,l,t
2.0,205,4.281535
2.0,210,4.719054
0.0,130,4.984698
0.0,150,5.297219
2.0,207,5.719122
0.0,154,6.047268
0.0,135,6.328636
0.0,131,6.59418
2.0,225,7.063104
1.0,177,7.422361
2.0,226,7.891142
5.0,321,8.547446
2.0,208,8.984966
0.0,134,9.250607
2.0,231,9.735015
5.0,368,10.485065
3.0,222,10.93822
2.0,194,11.344508
1.0,168,11.688271
2.0,229,12.157055
1.0,159,12.4852
3.0,255,13.000859
0.0,147,13.31339
0.0,131,13.579032
1.0,174,13.954047
3.0,240,14.438455
1.0,165,14.782227
1.0,163,15.126001
3.0,246,15.626173
3.0,239,16.110442
2.0,190,16.501093
3.0,279,17.079267
1.0,169,17.42303
3.0,268,17.969941
2.0,197,18.376228
2.0,217,18.829373
2.0,214,19.266912
1.0,197,19.67318
2.0,188,20.063831
2.0,226,20.516986
3.0,249,21.032646
1.0,164,21.376419
4.0,300,21.985835
1.0,167,22.329609
0.0,137,22.610888
0.0,141,22.907771
0.0,139,23.204666
0.0,140,23.485935
1.0,191,23.892212
0.0,142,24.173481
0.0,129,24.45475
0.0,132,25.032914
1.0,176,25.642329
0.0,139,26.111111
1.0,186,26.736163
0.0,143,27.22056
1.0,180,27.829976
2.0,211,28.533148
2.0,207,29.23632
1.0,161,29.783303
1.0,191,30.423899
2.0,184,31.048941
2.0,208,31.752123
1.0,192,32.408416
0.0,136,32.861669
1.0,185,33.486604
4.0,332,34.596054
1.0,174,35.189853
4.0,324,36.268039
0.0,137,36.752447
0.0,136,37.205602
2.0,233,37.986914
0.0,133,38.44006
3.0,255,39.299493
1.0,201,39.971412
0.0,128,40.408942
0.0,133,40.862097
1.0,161,41.409019
1.0,190,42.049676
2.0,212,42.75285
7.0,445,44.237325
0.0,132,44.690489
0.0,149,45.206147
0.0,154,45.721797
1.0,157,46.253083
2.0,217,46.987632
0.0,139,47.456289
2.0,190,48.096956
5.0,337,49.237658
1.0,174,49.815832
3.0,238,50.628386
1.0,180,51.222166
1.0,176,51.815955
1.0,189,52.456632
0.0,139,52.925414
1.0,167,53.503568
4.0,304,54.503645
1.0,154,55.03492
0.0,154,55.55058
3.0,296,56.550647
0.0,132,57.003802
1.0,168,57.566339
2.0,209,58.269635
1.0,182,59.113328
1.0,159,59.644604
0.0,134,60.097759
0.0,125,60.519672
3.0,248,61.363468
0.0,143,61.847876
2.0,213,62.566674
1.0,181,63.191716
1.0,188,63.832384
1.0,162,64.379296
0.0,138,64.848078
1.0,187,65.488745
0.0,133,65.9419
0.0,137,66.410682
2.0,205,67.098228
1.0,159,67.645149
0.0,137,68.11392
