#{"t_start": 1529875908.803894, "env_id": "Breakout-ramNoFrameskip-v4"}
r,l,t
1.0,183,2.48453
0.0,150,2.797049
4.0,309,3.437718
0.0,133,3.718996
0.0,129,4.000255
1.0,157,4.328402
3.0,234,4.81281
0.0,128,5.078452
1.0,176,5.437851
2.0,207,5.875381
1.0,180,6.250406
0.0,140,6.547302
3.0,260,7.078586
0.0,130,7.344229
0.0,131,7.625499
0.0,151,7.938028
0.0,123,8.203662
2.0,208,8.625564
2.0,213,9.063104
0.0,137,9.359998
2.0,224,9.828771
0.0,145,10.125666
0.0,141,10.42257
0.0,139,10.719455
1.0,187,11.110106
3.0,283,11.688269
0.0,130,11.953913
1.0,162,12.297685
0.0,135,12.578955
2.0,186,12.95398
1.0,194,13.36042
0.0,136,13.641526
4.0,301,14.266566
1.0,160,14.594744
3.0,234,15.079121
0.0,135,15.360391
2.0,193,15.766667
0.0,129,16.03231
4.0,264,16.579222
1.0,177,16.954248
1.0,190,17.344898
0.0,151,17.657419
1.0,186,18.04807
0.0,147,18.360601
1.0,194,18.766868
0.0,133,19.048137
0.0,155,19.376283
0.0,125,19.62631
0.0,136,19.923196
3.0,264,20.470107
2.0,237,20.954515
0.0,134,21.251409
1.0,170,21.595183
2.0,236,22.079589
0.0,131,22.360858
3.0,283,23.079657
0.0,161,23.642194
0.0,132,24.110976
0.0,123,24.548505
0.0,128,25.00166
2.0,216,25.767336
2.0,232,26.579901
0.0,133,27.048673
2.0,203,27.767491
0.0,137,28.251878
1.0,182,28.892555
2.0,216,29.658222
4.0,325,30.798924
0.0,136,31.28333
0.0,133,31.752112
0.0,136,32.236529
2.0,244,33.095951
0.0,145,33.611611
0.0,137,34.111645
0.0,124,34.549174
3.0,265,35.502363
3.0,256,36.439927
1.0,158,37.002464
1.0,172,37.611879
0.0,131,38.08066
1.0,171,38.690076
1.0,175,39.299491
2.0,218,40.065168
1.0,165,40.658958
0.0,128,41.112113
0.0,138,41.612147
1.0,170,42.205945
0.0,127,42.659092
0.0,126,43.112426
0.0,137,43.596655
2.0,193,44.268574
0.0,136,44.752982
0.0,138,45.237398
1.0,155,45.799926
1.0,186,46.456221
2.0,205,47.175019
0.0,129,47.628174
4.0,277,48.596989
1.0,185,49.253283
1.0,175,49.878325
1.0,152,50.425236
3.0,236,51.253426
5.0,319,52.378492
0.0,147,52.894151
0.0,130,53.347306
1.0,175,53.972348
1.0,191,54.644268
0.0,139,55.142532
0.0,133,55.611313
1.0,160,56.173851
1.0,174,56.798893
0.0,135,57.2833
0.0,129,57.736466
0.0,139,58.23649
0.0,136,58.939661
0.0,128,59.408442
2.0,206,60.142876
0.0,134,60.61165
3.0,236,61.439838
4.0,270,62.393016
1.0,175,63.018059
0.0,137,63.502467
1.0,160,64.08064
3.0,243,64.924538
0.0,130,65.393227
1.0,162,65.955765
0.0,128,66.408921
0.0,137,66.908943
0.0,130,67.362101
0.0,142,67.877759
1.0,178,68.502801
0.0,128,68.955956
2.0,198,69.659138
0.0,135,70.143546
0.0,136,70.627943
0.0,124,71.065472
1.0,196,71.768644
1.0,153,72.299939
1.0,188,72.971849
3.0,247,73.831292
0.0,134,74.315699
2.0,225,75.097001
2.0,213,75.847042
1.0,171,76.456457
2.0,187,77.112763
0.0,132,77.581532
