mean 100 episode reward,steps,% time spent exploring,episodes
1.2,18010,82,100
1.4,37415,62,200
1.6,58294,42,300
2.0,82406,18,400
2.2,111537,1,500
2.8,148827,1,600
2.3,192820,1,700
2.8,237331,1,800
2.8,272089,1,900
3.2,321895,1,1000
3.1,355457,1,1100
3.1,393319,1,1200
3.0,441481,1,1300
2.8,481045,1,1400
2.7,518774,1,1500
2.5,549846,1,1600
3.2,580241,1,1700
2.8,610164,1,1800
2.7,639881,1,1900
2.8,677013,1,2000
3.3,708324,1,2100
3.6,746110,1,2200
3.0,794019,1,2300
3.6,826920,1,2400
2.8,873267,1,2500
3.4,908575,1,2600
2.0,954580,1,2700
2.7,987505,1,2800
