#{"t_start": 1529965999.4975798, "env_id": "Breakout-ramNoFrameskip-v4"}
r,l,t
0.0,134,2.359524
4.0,329,3.015818
1.0,172,3.375217
0.0,133,3.656485
0.0,142,3.937756
1.0,197,4.328405
2.0,208,4.734078
0.0,153,5.046607
0.0,134,5.327866
1.0,181,5.687773
1.0,167,6.01592
0.0,130,6.281649
1.0,177,6.672724
0.0,140,6.969619
0.0,132,7.250887
1.0,160,7.579035
1.0,165,7.907181
0.0,127,8.172824
4.0,291,8.750988
1.0,155,9.079134
2.0,214,9.501038
1.0,156,9.813559
1.0,160,10.12608
0.0,133,10.391723
2.0,209,10.844879
5.0,344,11.532425
1.0,185,11.923075
1.0,177,12.298101
1.0,180,12.657499
0.0,142,12.970021
3.0,236,13.454429
1.0,167,13.798201
1.0,170,14.141975
0.0,133,14.407616
2.0,199,14.813894
1.0,181,15.188919
2.0,197,15.57957
2.0,194,15.970222
4.0,295,16.548385
0.0,123,16.814027
2.0,250,17.329688
0.0,152,17.626584
0.0,136,17.892225
0.0,138,18.18912
2.0,199,18.62665
1.0,172,19.001674
0.0,142,19.298569
1.0,198,19.689219
1.0,197,20.095497
0.0,130,20.376767
0.0,132,20.689288
1.0,164,21.033061
0.0,134,21.329956
1.0,174,21.751859
1.0,167,22.158136
1.0,194,22.595665
0.0,150,23.064446
0.0,127,23.501976
1.0,163,24.064512
3.0,266,24.923946
1.0,161,25.455231
0.0,140,25.924011
2.0,203,26.580307
5.0,338,27.67413
2.0,214,28.377302
0.0,146,28.861708
0.0,136,29.314865
2.0,190,29.939909
3.0,218,30.643078
1.0,184,31.236871
0.0,131,31.658771
1.0,155,32.174431
0.0,123,32.580708
3.0,237,33.330757
1.0,177,33.908921
2.0,227,34.658971
2.0,196,35.315265
1.0,170,35.877813
2.0,228,36.627853
1.0,202,37.284158
0.0,135,37.737301
1.0,165,38.284295
0.0,139,38.73738
0.0,136,39.174898
0.0,137,39.628055
1.0,195,40.248651
0.0,135,40.686028
6.0,381,41.920495
1.0,164,42.467397
1.0,162,42.998868
1.0,189,43.608099
9.0,431,44.998816
1.0,168,45.54586
0.0,138,45.998883
4.0,301,46.983323
1.0,179,47.561487
1.0,177,48.139651
1.0,159,48.655311
0.0,137,49.108465
1.0,196,49.749134
4.0,305,50.733642
1.0,179,51.32753
2.0,208,51.999284
4.0,322,53.030602
4.0,329,54.093174
2.0,202,54.749468
