#{"t_start": 1529969542.453926, "env_id": "Breakout-ramNoFrameskip-v4"}
r,l,t
2.0,231,2.369782
0.0,134,2.653289
3.0,242,3.127954
0.0,135,3.401963
5.0,331,4.059313
1.0,165,4.40279
1.0,202,4.81778
1.0,181,5.181509
4.0,255,5.680541
0.0,143,5.977094
2.0,206,6.402243
4.0,304,7.011626
1.0,160,7.330973
1.0,183,7.710815
0.0,133,7.977573
0.0,148,8.268855
0.0,131,8.534497
2.0,207,8.956295
1.0,157,9.284238
3.0,252,9.784879
0.0,134,10.051937
1.0,176,10.420298
3.0,277,10.986305
2.0,198,11.383436
1.0,158,11.718683
1.0,186,12.102825
4.0,298,12.77106
1.0,173,13.143615
6.0,416,13.968386
2.0,218,14.411787
0.0,141,14.696894
0.0,155,15.015923
2.0,190,15.412012
1.0,160,15.743792
3.0,239,16.234443
0.0,139,16.524298
1.0,166,16.856879
2.0,193,17.248461
1.0,194,17.647494
0.0,135,17.927703
0.0,136,18.210767
1.0,156,18.544842
1.0,167,18.883918
1.0,209,19.308014
1.0,183,19.724107
0.0,140,20.019175
0.0,143,20.316575
0.0,140,20.606639
2.0,206,21.022927
3.0,245,21.526117
0.0,136,21.823013
1.0,172,22.182411
5.0,336,23.18249
2.0,240,23.952832
1.0,179,24.522921
0.0,147,24.993068
3.0,301,25.961886
3.0,261,26.790066
0.0,136,27.227596
3.0,257,28.055786
0.0,142,28.524557
1.0,160,29.055853
3.0,253,29.868398
1.0,176,30.430935
2.0,208,31.087239
4.0,295,32.024802
1.0,165,32.556078
1.0,170,33.087363
1.0,167,33.634274
0.0,143,34.103056
0.0,134,34.524959
4.0,252,35.306262
0.0,143,35.790669
1.0,183,36.384468
4.0,302,37.337647
4.0,261,38.181453
0.0,136,38.618993
1.0,173,39.197147
0.0,150,39.689062
1.0,175,40.267226
0.0,135,40.705266
0.0,154,41.205299
0.0,131,41.642828
1.0,159,42.158488
2.0,212,42.846034
2.0,198,43.471207
0.0,141,43.924231
1.0,159,44.424264
0.0,134,44.877429
1.0,178,45.439957
2.0,234,46.221259
0.0,150,46.705676
2.0,213,47.408848
0.0,152,47.893246
0.0,137,48.346401
2.0,204,49.002696
1.0,188,49.612111
1.0,164,50.143396
1.0,178,50.721759
0.0,128,51.143463
0.0,147,51.62787
0.0,130,52.0654
0.0,149,52.549807
0.0,150,53.034216
0.0,142,53.503006
0.0,133,53.940526
2.0,224,54.643697
1.0,200,55.471877
3.0,290,56.393815
1.0,160,56.9095
1.0,173,57.456395
0.0,135,57.893925
