#{"t_start": 1529880873.161601, "env_id": "Breakout-ramNoFrameskip-v4"}
r,l,t
2.0,216,174.593124
6.0,390,175.921348
4.0,286,176.890153
2.0,202,177.577708
0.0,149,178.093359
2.0,210,178.812157
5.0,334,179.937232
1.0,172,180.515405
5.0,325,181.609219
0.0,156,182.15613
2.0,245,182.984321
5.0,329,184.109396
0.0,129,184.546915
1.0,195,185.218835
1.0,162,185.765747
1.0,197,186.437666
2.0,221,187.203354
0.0,166,187.76589
0.0,152,188.28154
0.0,151,188.79721
0.0,197,189.469119
2.0,254,190.344178
1.0,168,190.922341
5.0,333,192.047426
4.0,299,193.063109
1.0,168,193.641273
0.0,157,194.360082
5.0,353,195.547651
2.0,186,196.188329
6.0,386,197.500907
1.0,156,198.047818
1.0,166,198.625992
0.0,137,199.110389
1.0,152,199.626058
3.0,226,200.407351
3.0,231,201.204289
0.0,131,201.657434
0.0,162,202.204346
0.0,133,202.673128
0.0,154,203.204413
2.0,185,203.840004
1.0,157,204.386916
2.0,277,205.324488
0.0,130,205.762017
0.0,139,206.246424
4.0,302,207.277734
0.0,129,207.715273
2.0,248,208.559144
1.0,163,209.137233
1.0,179,209.746746
1.0,180,210.356065
0.0,138,210.840472
0.0,125,211.262376
0.0,134,211.731157
1.0,156,212.262452
4.0,282,213.215641
1.0,156,213.762542
4.0,278,214.700106
0.0,136,215.168897
7.0,441,216.653361
6.0,360,217.872193
2.0,208,218.590991
1.0,160,219.137912
2.0,219,219.887962
1.0,206,220.591125
1.0,181,221.20054
5.0,329,222.325617
0.0,131,222.77877
0.0,130,223.2163
4.0,296,224.231993
1.0,176,224.841409
2.0,192,225.497703
1.0,158,226.028989
1.0,180,226.65403
3.0,227,227.419806
0.0,130,227.872863
4.0,266,229.013572
3.0,262,229.904248
4.0,298,230.919941
2.0,201,231.607486
1.0,158,232.138772
0.0,178,232.748197
1.0,157,233.295109
2.0,276,234.232662
0.0,180,234.842078
0.0,164,235.404615
2.0,248,236.248422
1.0,185,236.873464
2.0,219,237.623513
2.0,206,238.332422
1.0,171,238.926213
1.0,176,239.520002
1.0,168,240.098166
1.0,213,240.848217
2.0,246,241.692031
3.0,236,242.504577
4.0,333,243.614037
3.0,230,244.395329
3.0,327,245.520414
11.0,504,247.223644
0.0,130,247.661173
2.0,212,248.395606
3.0,230,249.176898
