#{"t_start": 1529962514.1865335, "env_id": "Breakout-ramNoFrameskip-v4"}
r,l,t
0.0,149,168.377198
4.0,310,169.408651
2.0,224,170.142942
4.0,322,171.189886
3.0,245,172.002467
1.0,158,172.533737
0.0,137,172.986892
10.0,490,174.580749
0.0,136,175.033894
1.0,158,175.56518
0.0,174,176.143342
5.0,342,177.268418
0.0,190,177.909087
4.0,337,179.018536
1.0,166,179.565446
0.0,175,180.127985
0.0,140,180.596766
2.0,222,181.331189
0.0,157,181.846849
1.0,190,182.487517
6.0,417,183.862609
5.0,362,185.034572
1.0,163,185.581475
0.0,164,186.11276
4.0,271,187.003445
1.0,170,187.581608
3.0,294,188.550423
0.0,156,189.066083
1.0,185,189.675498
0.0,153,190.347419
1.0,165,190.894329
0.0,160,191.425615
0.0,193,192.066283
1.0,164,192.613204
0.0,142,193.081975
1.0,196,193.722654
0.0,157,194.238303
3.0,266,195.097765
5.0,419,196.488454
1.0,235,197.269766
0.0,136,197.738548
2.0,232,198.504213
1.0,199,199.144882
2.0,292,200.113696
1.0,203,200.801253
3.0,251,201.629433
5.0,386,202.879506
0.0,143,203.348298
1.0,177,203.942078
6.0,424,205.332805
0.0,139,205.801586
2.0,225,206.551626
0.0,187,207.176668
3.0,277,208.083158
0.0,156,208.59864
9.0,502,210.254999
1.0,197,210.92692
0.0,131,211.364449
1.0,169,211.911369
2.0,204,212.58329
0.0,163,213.130192
0.0,127,213.552095
0.0,134,213.989625
0.0,152,214.489668
0.0,143,215.005317
0.0,220,215.739752
6.0,408,217.067966
0.0,152,217.567989
0.0,146,218.036769
1.0,212,218.724326
0.0,209,219.396236
1.0,186,220.005663
0.0,175,220.568198
0.0,163,221.099474
0.0,171,221.646386
2.0,225,222.396447
1.0,229,223.146487
4.0,295,224.099675
1.0,165,224.630962
0.0,157,225.14662
3.0,216,225.849802
3.0,238,226.615479
0.0,133,227.068635
3.0,261,227.928056
1.0,191,228.553098
0.0,142,229.021879
0.0,163,229.568793
0.0,162,230.115713
1.0,183,230.709493
1.0,186,231.318909
2.0,206,231.990829
5.0,326,233.05341
0.0,151,233.553433
1.0,199,234.209728
4.0,298,235.194169
1.0,174,235.756706
0.0,130,236.194235
4.0,396,237.475571
0.0,147,237.959988
0.0,149,238.444386
0.0,188,239.053801
2.0,219,239.772609
0.0,295,240.725798
1.0,218,241.444586
0.0,183,242.038386
1.0,193,242.663427
2.0,229,243.397852
0.0,187,244.022884
2.0,373,245.226089
1.0,212,245.913635
0.0,180,246.507424
0.0,173,247.085588
5.0,410,248.413802
1.0,172,248.976339
3.0,256,249.80452
2.0,238,250.570207
2.0,238,251.335873
0.0,213,252.023419
2.0,194,252.679713
0.0,244,253.476641
0.0,193,254.117318
0.0,201,254.757986
4.0,352,255.898678
6.0,444,257.320659
2.0,258,258.148828
0.0,225,258.898879
3.0,216,259.617677
1.0,246,260.414708
3.0,342,261.53968
1.0,316,262.539747
1.0,325,263.586693
3.0,428,264.961784
1.0,294,265.914973
1.0,329,266.977544
1.0,186,267.571334
3.0,353,268.743298
4.0,293,269.68085
0.0,214,270.368406
0.0,207,271.055941
1.0,237,271.821619
3.0,367,272.993571
0.0,197,273.634239
1.0,213,274.321785
0.0,247,275.181218
0.0,247,275.993783
0.0,225,276.743823
1.0,242,277.540761
3.0,373,278.759582
0.0,174,279.337745
0.0,352,280.478447
1.0,298,281.431646
2.0,401,282.712973
1.0,265,283.58803
1.0,240,284.369332
2.0,292,285.32252
0.0,194,285.963199
2.0,490,287.572672
11.0,439,288.994642
0.0,255,289.838448
3.0,468,291.3698
3.0,305,292.354241
0.0,251,293.182422
0.0,252,294.010602
1.0,478,295.557591
0.0,391,296.823301
3.0,338,297.917124
1.0,423,299.276589
0.0,340,300.370413
2.0,591,302.27678
0.0,258,303.120588
0.0,263,303.980019
3.0,448,305.433242
1.0,248,306.23017
1.0,167,306.777081
2.0,511,308.433441
2.0,499,310.058552
2.0,479,311.605539
1.0,253,312.418084
0.0,256,313.246361
2.0,335,314.324471
4.0,324,315.35578
3.0,271,316.230839
3.0,353,317.37154
2.0,408,318.684137
0.0,205,319.340433
0.0,175,319.918595
2.0,255,320.746766
0.0,221,321.465563
1.0,543,323.231307
2.0,297,324.215758
0.0,524,325.903361
1.0,268,326.762794
5.0,817,329.372353
1.0,335,330.45054
0.0,220,331.169338
1.0,173,331.731876
4.0,750,334.12266
5.0,458,335.607145
2.0,269,336.466567
2.0,250,337.279132
0.0,208,337.966677
3.0,351,339.091743
0.0,137,339.544898
2.0,215,340.24807
0.0,131,340.6856
4.0,517,342.342009
0.0,269,343.217019
4.0,332,344.279856
3.0,461,345.764075
4.0,484,347.311043
0.0,201,347.967336
4.0,311,348.967403
6.0,421,350.32688
4.0,532,352.045734
7.0,282,352.952055
1.0,171,353.670843
0.0,186,354.295885
5.0,351,355.436586
0.0,170,355.983498
0.0,146,356.467906
4.0,302,357.452346
0.0,143,357.921137
3.0,251,358.733691
0.0,146,359.202463
0.0,134,359.639993
3.0,266,360.515051
2.0,243,361.296354
0.0,366,362.468307
0.0,173,363.030854
0.0,156,363.546504
0.0,135,363.984033
3.0,367,365.171612
0.0,123,365.57789
0.0,143,366.046681
2.0,256,366.874852
0.0,171,367.437388
0.0,130,367.859292
0.0,176,368.437456
4.0,431,369.84381
1.0,238,370.625112
0.0,210,371.312649
0.0,160,371.828307
5.0,332,372.906515
2.0,246,373.703444
1.0,152,374.203467
2.0,210,374.891023
2.0,371,376.078602
1.0,153,376.594252
4.0,323,377.641197
3.0,312,378.656889
1.0,153,379.156933
0.0,192,379.781975
3.0,278,380.67266
2.0,201,381.328943
0.0,148,381.828987
5.0,368,383.016556
0.0,145,383.485338
0.0,125,383.907251
0.0,137,384.360395
0.0,152,384.86044
3.0,318,385.89175
4.0,312,386.907452
2.0,245,387.688744
1.0,164,388.235655
3.0,533,389.95452
0.0,210,390.642076
3.0,444,392.064036
4.0,827,394.704839
1.0,250,395.533019
7.0,271,396.423703
0.0,284,397.330024
4.0,405,398.626975
4.0,446,400.064572
1.0,259,400.908379
2.0,230,401.658429
2.0,233,402.408479
0.0,211,403.096025
0.0,368,404.283604
7.0,284,405.221176
0.0,380,406.439999
0.0,212,407.127544
3.0,294,408.080733
3.0,474,409.612095
1.0,256,410.455902
3.0,560,412.299767
3.0,1217,416.284407
6.0,458,417.784507
0.0,562,419.737762
0.0,243,420.534691
0.0,304,421.503506
0.0,276,422.39419
0.0,480,423.941168
0.0,281,424.84749
0.0,338,425.925686
0.0,345,427.050752
5.0,1012,430.269727
2.0,502,431.863584
1.0,1170,435.62945
1.0,783,438.129618
1.0,304,439.114059
0.0,888,441.942373
5.0,995,445.130097
7.0,1229,449.052412
6.0,964,452.130565
2.0,480,453.677534
3.0,1289,457.787193
3.0,268,458.662242
9.0,2065,465.240817
1.0,283,466.147127
1.0,894,468.991058
0.0,664,471.1162
1.0,3398,481.913807
4.0,663,484.023313
2.0,1430,488.599142
0.0,307,489.583592
0.0,970,492.661914
1.0,228,493.396347
2.0,206,494.068257
0.0,152,494.56829
3.0,490,496.130896
2.0,197,496.78719
1.0,156,497.302859
4.0,279,498.20916
2.0,422,499.568635
2.0,186,500.178041
4.0,1707,505.615906
1.0,242,506.397218
3.0,1277,510.459979
0.0,384,511.694436
5.0,915,514.616508
1.0,1069,518.038621
4.0,1220,521.91387
0.0,580,523.788996
9.0,1004,526.992334
6.0,644,529.070599
4.0,515,530.726961
0.0,1673,536.055441
0.0,1856,541.977712
1.0,359,543.134039
2.0,1833,549.228196
5.0,470,550.743924
0.0,606,552.697179
0.0,553,554.478559
4.0,525,556.181798
1.0,777,558.650703
4.0,320,559.682022
1.0,1158,563.385404
1.0,250,564.182323
0.0,1048,567.541923
0.0,2179,574.495513
1.0,1263,578.792674
1.0,235,579.573977
1.0,1188,583.339864
0.0,884,586.183929
5.0,722,588.480823
0.0,3640,599.856584
1.0,398,601.122304
0.0,167,601.65359
2.0,1069,605.15391
0.0,546,606.919557
1.0,534,608.669683
7.0,1098,612.154282
2.0,290,613.091844
3.0,1011,616.310811
0.0,215,617.013982
7.0,1336,621.279893
4.0,428,622.67061
2.0,293,623.623809
2.0,654,625.733315
0.0,211,626.436496
0.0,152,626.93652
0.0,216,627.639703
3.0,429,629.046047
0.0,219,629.764939
0.0,237,630.546136
2.0,194,631.186804
5.0,553,632.9838
4.0,288,633.921362
1.0,431,635.327717
4.0,352,636.468408
5.0,421,637.827873
3.0,870,640.656188
11.0,3456,651.953819
4.0,491,653.563311
6.0,1171,657.297926
3.0,300,658.266751
1.0,1056,661.657603
5.0,567,663.470214
0.0,293,664.439039
2.0,225,665.173453
1.0,1143,668.845584
2.0,198,669.486252
0.0,122,669.892519
3.0,277,670.783203
5.0,767,673.252118
1.0,191,673.861535
1.0,259,674.705351
0.0,997,678.049317
0.0,245,678.861868
11.0,1034,682.174591
3.0,280,683.080901
0.0,127,683.502804
2.0,227,684.237238
9.0,439,685.659198
1.0,383,686.893773
0.0,226,687.643717
1.0,175,688.206326
0.0,230,688.956295
0.0,125,689.362572
0.0,218,690.081369
3.0,269,690.956438
0.0,151,691.456462
0.0,233,692.206512
7.0,1358,696.566179
5.0,308,697.550682
2.0,210,698.238165
0.0,164,698.76945
1.0,201,699.425745
2.0,185,700.03516
0.0,136,700.488315
4.0,338,701.582139
1.0,176,702.160302
0.0,183,702.754102
0.0,180,703.332266
1.0,213,704.019801
1.0,221,704.73861
3.0,284,705.660536
7.0,482,707.223141
0.0,192,707.848183
1.0,166,708.379469
0.0,122,708.801371
1.0,180,709.395161
0.0,230,710.145211
0.0,183,710.754627
2.0,311,711.770491
6.0,565,713.598567
0.0,139,714.067349
2.0,221,714.786147
0.0,315,715.817476
0.0,232,716.583153
5.0,368,717.770731
2.0,252,718.583286
2.0,350,719.708352
3.0,321,720.739671
0.0,249,721.552235
0.0,293,722.505424
3.0,293,723.442976
1.0,533,725.146215
4.0,648,727.224489
1.0,209,727.912025
2.0,251,728.72459
0.0,237,729.490266
5.0,700,731.740407
0.0,135,732.177936
4.0,373,733.396766
4.0,360,734.568721
1.0,269,735.428152
0.0,340,736.521976
0.0,281,737.428296
2.0,318,738.459606
3.0,251,739.27217
3.0,339,740.381609
2.0,1720,745.881977
0.0,150,746.38201
1.0,387,747.647731
0.0,204,748.31965
4.0,378,749.554098
0.0,307,750.554165
5.0,358,751.710492
5.0,306,752.694933
1.0,267,753.554365
0.0,224,754.273163
11.0,440,755.695133
3.0,274,756.601445
4.0,280,757.50777
3.0,262,758.351562
0.0,277,759.242246
7.0,362,760.414198
4.0,297,761.367398
5.0,774,763.836303
0.0,204,764.508233
7.0,283,765.414544
1.0,294,766.367723
1.0,207,767.039653
3.0,831,769.711707
0.0,235,770.477382
6.0,417,771.821222
9.0,764,774.290138
0.0,137,774.743283
4.0,295,775.712107
1.0,171,776.274636
1.0,309,777.290328
1.0,292,778.243518
6.0,500,779.85301
6.0,1646,785.072099
1.0,583,786.931598
1.0,713,789.213001
1.0,859,791.947559
0.0,122,792.353835
4.0,459,793.822694
3.0,258,794.66649
1.0,237,795.432166
1.0,323,796.494748
1.0,371,797.682317
0.0,172,798.260481
1.0,414,799.620048
7.0,962,802.698277
0.0,130,803.135807
4.0,531,804.839047
5.0,499,806.432903
9.0,1053,809.855017
6.0,604,811.792636
4.0,594,813.730276
4.0,1319,817.964934
6.0,1315,822.152714
4.0,1005,825.356054
5.0,855,828.090611
1.0,562,829.887596
11.0,359,831.043923
1.0,314,832.059617
1.0,261,832.903423
0.0,128,833.325326
1.0,675,835.481721
1.0,2873,844.857358
0.0,3905,857.492213
2.0,646,859.55486
3.0,1132,863.180093
1.0,711,865.461505
0.0,877,868.28982
1.0,289,869.227372
1.0,215,869.930545
0.0,654,872.055686
0.0,237,872.821363
1.0,346,873.946573
0.0,404,875.259026
0.0,338,876.368474
4.0,1282,880.556265
5.0,350,881.712583
0.0,662,883.868976
0.0,196,884.525403
0.0,918,887.52547
0.0,1243,891.525738
0.0,450,892.963345
5.0,718,895.307242
4.0,2152,902.198328
0.0,165,902.745239
0.0,1281,906.839274
9.0,516,908.495623
0.0,1497,913.339698
1.0,286,914.273145
2.0,672,916.445175
7.0,2044,923.008103
3.0,287,923.976928
0.0,1051,927.383397
0.0,1290,931.493045
1.0,567,933.321293
2.0,235,934.086969
5.0,348,935.19658
2.0,1769,940.853059
5.0,356,942.009374
4.0,477,943.540727
1.0,1109,947.103465
9.0,400,948.400427
0.0,146,948.884835
0.0,277,949.775519
5.0,348,950.900594
0.0,342,952.010043
2.0,207,952.681974
6.0,387,953.932057
0.0,780,956.416598
1.0,233,957.182265
1.0,1030,960.463734
1.0,415,961.807584
9.0,498,963.401432
0.0,531,965.120295
1.0,154,965.620328
0.0,259,966.464136
1.0,327,967.526706
8.0,718,969.823735
6.0,454,971.292583
0.0,260,972.13639
0.0,152,972.636423
0.0,201,973.277091
2.0,361,974.464671
3.0,274,975.370981
0.0,125,975.808511
0.0,217,976.542947
0.0,154,977.105472
0.0,124,977.543001
6.0,375,978.85559
3.0,431,980.261943
0.0,1064,983.699664
1.0,482,985.277894
0.0,744,987.684305
3.0,281,988.668756
9.0,493,990.262613
4.0,457,991.747077
4.0,416,993.106543
0.0,210,993.794089
0.0,583,995.68484
2.0,383,996.919308
1.0,311,997.935001
0.0,346,999.04444
0.0,403,1000.357028
0.0,312,1001.357094
0.0,177,1001.935258
2.0,432,1003.341603
5.0,970,1006.466811
11.0,1315,1010.70147
9.0,448,1012.154691
6.0,573,1013.998575
0.0,212,1014.670485
1.0,339,1015.764318
0.0,543,1017.514426
0.0,478,1019.045778
1.0,749,1021.452189
1.0,330,1022.51476
0.0,332,1023.592958
12.0,2420,1031.312224
1.0,644,1033.374871
6.0,1533,1038.297065
4.0,1336,1042.594228
8.0,472,1044.109954
3.0,284,1045.031891
5.0,345,1046.156966
12.0,527,1047.860216
1.0,1168,1051.610466
2.0,564,1053.438703
0.0,198,1054.079381
5.0,452,1055.548231
1.0,401,1056.829555
4.0,385,1058.079638
3.0,223,1058.798437
3.0,247,1059.610991
0.0,151,1060.095399
3.0,234,1060.861085
4.0,261,1061.704881
2.0,221,1062.439306
6.0,395,1063.720829
0.0,138,1064.173806
0.0,151,1064.67384
1.0,167,1065.220741
0.0,163,1065.752038
1.0,630,1067.783423
3.0,364,1068.955367
0.0,164,1069.502289
0.0,268,1070.361711
1.0,315,1071.39304
0.0,209,1072.080576
1.0,179,1072.65887
6.0,921,1075.627698
0.0,480,1077.190302
0.0,194,1077.815344
7.0,318,1078.846653
0.0,652,1080.940543
0.0,356,1082.096871
1.0,235,1082.862547
5.0,356,1084.003258
1.0,364,1085.190827
1.0,856,1087.941012
6.0,442,1089.362983
5.0,381,1090.597449
6.0,400,1091.8944
0.0,868,1094.691463
1.0,854,1097.426021
1.0,1560,1102.441981
0.0,1201,1106.285989
3.0,493,1107.879844
0.0,703,1110.145622
4.0,946,1113.208327
2.0,197,1113.849005
1.0,352,1114.989696
0.0,1722,1120.521317
5.0,398,1121.802652
2.0,2101,1128.521852
3.0,246,1129.318789
2.0,251,1130.131334
3.0,226,1130.865768
3.0,273,1131.756453
3.0,1210,1135.631702
0.0,421,1137.006793
0.0,580,1138.866302
3.0,698,1141.116444
0.0,169,1141.663365
1.0,275,1142.55404
7.0,558,1144.351035
3.0,840,1147.054342
2.0,537,1148.788832
3.0,234,1149.554518
1.0,444,1150.992104
8.0,1414,1155.539294
1.0,208,1156.211203
3.0,1117,1159.773942
0.0,200,1160.430236
12.0,822,1163.071046
5.0,427,1164.430503
9.0,837,1167.118183
3.0,564,1168.930804
0.0,244,1169.727733
1.0,288,1170.649679
3.0,267,1171.524728
2.0,189,1172.14977
1.0,1369,1176.587576
1.0,896,1179.572141
9.0,554,1181.337884
9.0,405,1182.650482
0.0,1590,1187.71331
1.0,163,1188.244597
5.0,1022,1191.51044
0.0,2425,1199.495348
8.0,283,1200.401659
0.0,328,1201.464241
0.0,436,1202.886201
0.0,582,1204.777035
0.0,1329,1209.011611
0.0,446,1210.449216
0.0,625,1212.449341
4.0,436,1213.855685
13.0,556,1215.637063
2.0,456,1217.105902
2.0,221,1217.82471
2.0,183,1218.41849
4.0,476,1219.965468
8.0,367,1221.153058
0.0,710,1223.418824
4.0,456,1224.887674
0.0,436,1226.278391
5.0,366,1227.46598
0.0,1623,1232.685068
0.0,751,1235.122741
0.0,500,1236.763468
5.0,319,1237.810412
2.0,329,1238.872982
10.0,697,1241.091882
2.0,398,1242.373217
2.0,198,1243.013885
8.0,355,1244.154587
11.0,600,1246.092216
0.0,1506,1250.905048
5.0,442,1252.327008
2.0,402,1253.62397
3.0,258,1254.467777
1.0,542,1256.217894
0.0,725,1258.546174
2.0,257,1259.374355
1.0,164,1259.905639
0.0,448,1261.358872
8.0,432,1262.749581
7.0,295,1263.702769
0.0,783,1266.218573
11.0,577,1268.062435
9.0,1162,1271.765927
8.0,506,1273.406554
3.0,259,1274.25036
0.0,357,1275.391051
8.0,343,1276.5005
1.0,192,1277.141252
0.0,214,1277.828724
4.0,506,1279.453822
11.0,267,1280.328882
1.0,213,1281.032063
3.0,239,1281.813355
0.0,163,1282.360267
7.0,256,1283.204073
0.0,170,1283.766612
6.0,372,1284.969826
0.0,129,1285.39172
0.0,129,1285.813624
3.0,382,1287.079343
