#{"t_start": 1529849452.8581557, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,175,3480.414192
2.0,188,3496.094207
5.0,327,3523.493511
3.0,238,3542.412811
4.0,285,3564.852427
4.0,281,3591.242849
6.0,384,3622.458967
4.0,280,3645.580714
3.0,230,3664.836684
3.0,237,3686.14705
4.0,263,3708.864036
16.0,457,3747.873079
4.0,284,3771.933295
2.0,224,3790.406238
3.0,232,3808.917221
2.0,202,3826.134003
6.0,382,3858.352544
5.0,332,3890.228544
7.0,412,3923.212646
3.0,234,3940.712619
3.0,236,3958.164622
9.0,327,3983.183285
6.0,387,4012.954227
4.0,321,4037.035431
5.0,298,4061.091816
5.0,320,4087.129517
4.0,263,4109.902828
4.0,284,4139.128084
5.0,310,4173.4834
5.0,330,4205.857852
5.0,294,4235.776455
5.0,329,4265.346107
14.0,574,4311.982979
7.0,393,4342.620425
4.0,245,4361.165799
6.0,384,4392.552089
7.0,343,4420.211241
8.0,453,4456.193625
7.0,351,4486.789819
10.0,379,4516.082034
8.0,440,4549.636811
4.0,258,4568.901773
5.0,317,4593.463699
13.0,456,4631.942727
6.0,383,4667.173881
4.0,261,4689.883868
7.0,396,4723.641692
10.0,521,4770.456284
3.0,236,4800.144178
4.0,321,4832.204529
7.0,404,4870.281883
6.0,324,4898.451251
4.0,262,4926.335546
3.0,253,4952.52713
9.0,398,4986.673566
3.0,270,5011.311477
7.0,408,5047.92747
6.0,375,5090.586651
12.0,523,5144.313408
13.0,452,5188.790838
8.0,408,5227.414231
12.0,458,5267.854568
8.0,501,5309.704296
5.0,330,5335.500877
9.0,404,5367.492546
4.0,277,5388.818328
7.0,449,5425.061126
4.0,302,5448.348784
6.0,345,5474.743659
8.0,417,5507.288014
9.0,455,5545.830542
4.0,302,5575.722693
5.0,350,5612.225136
17.0,609,5679.637104
5.0,311,5711.182625
15.0,564,5769.304845
5.0,329,5801.05444
5.0,350,5832.986248
5.0,350,5870.828887
3.0,251,5898.176964
7.0,411,5941.756993
14.0,503,5992.877704
8.0,425,6036.955449
9.0,547,6100.346713
9.0,463,6150.626905
23.0,535,6206.819711
8.0,439,6252.781375
4.0,275,6279.995784
5.0,327,6313.213751
7.0,373,6349.280086
4.0,266,6375.875849
5.0,328,6413.511283
16.0,470,6462.438251
6.0,360,6498.982313
12.0,428,6545.854541
7.0,412,6587.89957
12.0,474,6631.445262
8.0,419,6670.864676
4.0,282,6695.88734
11.0,597,6750.869163
6.0,359,6782.498042
7.0,393,6822.576831
17.0,479,6878.127003
8.0,450,6928.126359
12.0,543,6985.69637
11.0,553,7048.062638
6.0,365,7090.485429
6.0,349,7126.800824
8.0,421,7175.639638
8.0,398,7222.442331
7.0,361,7263.968539
14.0,400,7310.320501
8.0,413,7349.409105
9.0,494,7394.909037
22.0,638,7453.047724
10.0,452,7493.262683
20.0,618,7553.951911
9.0,452,7598.879169
24.0,967,7702.41285
13.0,470,7750.968537
12.0,547,7810.969159
10.0,464,7861.646122
25.0,764,7944.590428
9.0,499,7995.574263
20.0,582,8049.587312
18.0,700,8112.505265
11.0,535,8159.878121
16.0,575,8212.835397
15.0,700,8286.693079
19.0,727,8366.964597
10.0,502,8422.950617
15.0,593,8483.359046
23.0,713,8551.527989
28.0,438,8595.052051
9.0,510,8654.766352
6.0,359,8694.552069
10.0,457,8741.156365
11.0,530,8790.656308
22.0,740,8859.753323
12.0,458,8903.043095
18.0,624,8967.629092
19.0,800,9062.203194
9.0,333,9098.79485
13.0,642,9173.310184
11.0,548,9238.312612
24.0,638,9301.736391
11.0,463,9348.62217
7.0,397,9391.780009
13.0,578,9455.981771
12.0,567,9524.726338
16.0,631,9596.312099
26.0,752,9679.203174
18.0,663,9750.054479
17.0,693,9822.302085
14.0,520,9875.741981
16.0,558,9932.481472
9.0,497,9985.063554
14.0,536,10040.113037
18.0,666,10113.843557
13.0,642,10179.242709
16.0,599,10238.692646
13.0,559,10292.81164
22.0,771,10373.645324
21.0,857,10473.944231
9.0,503,10527.73137
25.0,748,10609.069367
19.0,825,10713.235125
20.0,696,10789.372013
12.0,458,10831.619316
17.0,502,10879.991601
17.0,711,10954.369086
12.0,610,11029.541126
8.0,462,11080.568125
28.0,635,11155.590249
18.0,561,11214.144696
18.0,758,11291.895704
10.0,531,11344.82357
22.0,682,11416.818838
26.0,861,11511.080453
15.0,695,11589.160717
13.0,582,11658.306103
12.0,435,11707.122134
15.0,660,11780.86726
15.0,525,11837.896768
12.0,474,11886.819471
26.0,899,11969.484107
18.0,544,12018.232176
28.0,998,12110.149512
25.0,709,12181.301744
23.0,851,12259.166131
16.0,565,12309.602234
16.0,526,12356.269494
18.0,665,12417.644817
14.0,684,12479.663823
4.0,326,12508.701186
7.0,436,12548.961118
27.0,909,12626.092923
22.0,753,12689.827407
32.0,951,12771.406666
25.0,780,12840.406133
17.0,481,12883.016718
23.0,842,12957.082282
23.0,803,13024.888432
10.0,594,13074.969737
20.0,754,13139.137971
26.0,851,13211.323613
20.0,663,13271.199306
6.0,344,13299.426135
9.0,444,13336.535872
35.0,766,13401.623579
22.0,729,13463.822941
33.0,1074,13554.653898
23.0,708,13616.024736
19.0,672,13674.101461
32.0,910,13988.572781
22.0,640,14054.157335
16.0,730,14129.583259
11.0,580,14188.473518
21.0,643,14250.917739
23.0,696,14321.160493
29.0,547,14377.713091
8.0,297,14406.854529
17.0,599,14469.111985
17.0,475,14520.261679
17.0,584,14587.986328
23.0,777,14673.741406
13.0,542,14738.952049
22.0,651,14829.692547
9.0,436,14892.730721
19.0,729,14990.793373
28.0,936,15118.574
20.0,721,15202.907707
21.0,833,15295.777498
19.0,673,15375.867678
20.0,697,15461.836611
24.0,917,15561.932312
24.0,881,15643.098805
9.0,454,15684.299199
37.0,1106,15787.484079
21.0,626,15848.706001
29.0,924,15931.579518
28.0,934,16015.115654
25.0,795,16089.307146
19.0,439,16128.325791
22.0,653,16191.045855
25.0,917,16268.845281
24.0,871,16342.76093
21.0,695,16401.946018
19.0,645,16456.586712
19.0,666,16514.042792
43.0,722,16579.769133
32.0,501,16621.517214
12.0,553,16667.682763
10.0,450,16705.801923
27.0,737,16774.141279
28.0,874,16852.000668
43.0,817,16931.041384
12.0,503,16976.011615
33.0,1044,17070.34057
29.0,842,17146.434969
10.0,530,17195.776247
24.0,632,17260.260591
16.0,597,17324.296901
26.0,824,17408.027927
14.0,418,17445.906737
25.0,812,17525.482411
25.0,662,17591.785421
26.0,566,17649.501353
41.0,980,17753.653677
19.0,550,17810.452135
26.0,810,17893.862344
29.0,670,17960.271295
12.0,597,18020.403366
63.0,1161,18139.357213
27.0,700,18212.101531
28.0,855,18308.238616
10.0,417,18351.191247
14.0,594,18413.484082
34.0,775,18499.569297
35.0,874,18592.532351
26.0,667,18662.625734
27.0,872,18761.161357
30.0,680,18836.813662
15.0,529,18886.82465
22.0,789,18959.683004
8.0,433,19011.349794
17.0,673,19092.43024
17.0,554,19156.534086
22.0,659,19223.995433
26.0,719,19295.53548
38.0,1023,19402.686087
36.0,1063,19515.472029
22.0,658,19580.512311
22.0,867,19666.096811
24.0,817,19755.326197
21.0,795,19843.639597
16.0,406,19887.467543
17.0,586,19952.956125
10.0,445,20003.54092
25.0,761,20089.330621
24.0,973,20187.049268
16.0,563,20247.778978
28.0,877,20344.264699
26.0,740,20437.162746
36.0,807,20523.625186
27.0,907,20613.129801
26.0,877,20702.709973
26.0,808,20781.231117
35.0,656,20850.457414
22.0,840,20952.02739
31.0,494,21000.009106
23.0,582,21060.119913
31.0,878,21151.450218
33.0,894,21246.707934
20.0,603,21309.95913
249.0,861,21406.809178
341.0,906,21505.588837
22.0,560,21564.164147
42.0,1182,21700.348542
27.0,673,21784.004416
15.0,612,21852.829285
15.0,714,21924.756602
34.0,969,22016.955425
28.0,767,22088.315538
47.0,1098,22197.24012
26.0,852,22280.087814
37.0,924,22369.377255
28.0,804,22444.710093
51.0,922,22531.058619
19.0,781,22604.002825
30.0,1065,22703.68771
23.0,707,22770.400487
32.0,875,22853.467398
25.0,818,22931.188868
26.0,866,23022.673239
22.0,851,23105.936554
36.0,619,23165.928181
17.0,766,23241.5904
12.0,517,23292.289351
40.0,808,23369.992831
22.0,668,23434.293989
28.0,897,23519.962904
37.0,650,23583.405071
24.0,826,23661.821141
27.0,681,23734.478917
17.0,731,23805.34488
44.0,992,23903.036423
43.0,1196,24016.76365
28.0,934,24108.22376
32.0,741,24181.315301
27.0,757,24256.154952
43.0,814,24334.510078
51.0,1186,24452.850417
57.0,1169,24567.814642
41.0,1013,24663.625799
25.0,663,24724.104653
69.0,1204,24840.867537
33.0,802,24917.711555
50.0,1300,25045.177276
31.0,1052,25140.712539
42.0,947,25221.527236
24.0,672,25279.353104
32.0,808,25349.778753
54.0,925,25429.160272
32.0,1069,25520.490942
36.0,1070,25612.051482
48.0,1294,25723.429667
43.0,1270,25832.632099
17.0,623,25884.966114
26.0,860,25957.9453
41.0,834,26029.04956
46.0,1191,26132.747146
23.0,684,26190.229211
21.0,614,26241.897608
33.0,890,26317.578246
46.0,961,26402.682223
14.0,626,26461.306238
35.0,1090,26570.468868
23.0,683,26632.069571
25.0,931,26712.810309
23.0,893,26790.097028
33.0,814,26860.099918
27.0,1039,26950.927879
37.0,966,27033.528552
20.0,710,27094.693507
31.0,609,27147.548223
33.0,1008,27234.065653
54.0,1001,27321.104744
13.0,563,27369.457041
18.0,654,27425.783331
50.0,925,27504.740093
45.0,871,27578.555799
40.0,1053,27668.426307
14.0,528,27712.808878
40.0,737,27776.455411
46.0,1102,27873.697695
54.0,869,27948.543383
41.0,992,28034.020408
11.0,535,28079.576307
51.0,1350,28195.205056
44.0,1173,28302.602172
39.0,891,28382.199566
36.0,905,29221.232447
12.0,544,29287.546705
59.0,709,29362.576469
41.0,823,29447.541313
18.0,757,29519.296708
30.0,984,29630.749353
42.0,1216,29758.7649
38.0,932,29845.087062
13.0,536,29893.862117
48.0,1335,30038.453177
305.0,1636,30211.700595
48.0,1336,30339.520789
22.0,728,30407.838794
34.0,826,30489.021206
50.0,1242,30614.152446
22.0,661,30686.430554
30.0,932,30786.582949
58.0,772,30861.75982
30.0,876,30947.093611
33.0,925,31049.363743
3.0,234,31075.72629
40.0,988,31178.513555
62.0,1212,31301.964119
55.0,1228,31415.198802
45.0,917,31501.447583
66.0,1383,31640.337697
92.0,1364,31783.001293
39.0,1038,31879.397064
56.0,1309,32010.202536
40.0,1091,32114.234972
38.0,833,32197.081505
53.0,1028,32296.181238
20.0,626,32356.308797
29.0,750,32427.435043
31.0,951,32517.962176
63.0,1141,32640.99027
30.0,984,32742.249879
37.0,1044,32857.852087
52.0,1025,32971.068083
34.0,1025,33096.546284
40.0,904,33183.204632
31.0,764,33265.835866
48.0,1094,33388.321723
52.0,1226,33516.476928
26.0,783,33589.722469
54.0,965,33676.347836
34.0,1059,33771.136527
35.0,1079,33888.270182
37.0,1147,34009.277865
77.0,1304,34170.184364
49.0,1230,34304.314739
21.0,767,34386.06713
44.0,1255,34534.944759
24.0,796,34616.733196
38.0,909,34720.378337
50.0,1136,34843.695939
55.0,774,34944.373568
63.0,1345,35125.994649
21.0,858,35225.140793
37.0,1019,35334.505047
24.0,714,35408.749306
42.0,882,35488.82493
33.0,890,35569.845508
51.0,1233,35683.298505
37.0,1063,35785.691347
32.0,914,35879.180832
27.0,804,35975.715266
34.0,860,36058.49358
27.0,850,36145.235234
31.0,1012,36244.148069
42.0,1241,36367.217467
46.0,1104,36474.250291
39.0,1152,36587.070767
37.0,957,36686.50588
31.0,1057,36793.219651
41.0,977,36885.939528
19.0,526,36934.168893
44.0,839,37018.204745
34.0,881,37105.709711
38.0,1194,37225.961339
78.0,1204,37342.314179
53.0,982,37447.846817
33.0,623,37508.807053
54.0,1372,37642.052235
46.0,1162,37756.39772
39.0,1037,37856.584401
34.0,990,37966.357164
35.0,694,38041.962667
38.0,1021,38145.434393
52.0,1325,38282.864872
47.0,938,38377.630121
57.0,980,38483.493066
66.0,1159,38603.906075
28.0,867,38690.870247
48.0,1052,38788.211852
44.0,999,38879.310353
34.0,1103,39007.294891
32.0,911,39109.104695
36.0,1059,39252.05818
27.0,768,39350.672442
32.0,992,39463.640766
49.0,1283,39610.436826
40.0,957,39719.627018
46.0,1080,39845.400814
26.0,661,39914.827199
62.0,1365,40052.656494
91.0,1483,40201.134364
32.0,892,40288.959551
31.0,956,40381.353613
58.0,1379,40519.454028
19.0,694,40588.02374
29.0,872,40673.138617
45.0,1010,40773.039454
47.0,958,40865.35115
55.0,1095,40976.674467
39.0,1006,41083.547452
47.0,815,41166.372524
44.0,865,41263.583333
33.0,1033,41359.384443
33.0,822,41441.610335
52.0,911,41531.56498
41.0,694,41596.159971
27.0,829,41673.889435
178.0,1381,41811.166326
22.0,556,41863.221762
36.0,870,41944.762226
262.0,1350,42079.898709
56.0,1107,42190.787781
54.0,1077,42299.236349
50.0,1080,42407.923417
158.0,722,42475.372442
40.0,1175,42587.199543
64.0,1499,42745.083621
14.0,598,42798.746258
14.0,628,42854.500186
30.0,859,42930.148771
41.0,1197,43041.003772
31.0,472,43082.617928
18.0,683,43140.603706
61.0,1303,43251.536146
31.0,956,43328.184402
58.0,1147,43417.998523
47.0,847,43484.832232
39.0,946,43559.769295
51.0,1094,43646.441635
38.0,827,43710.558899
39.0,948,43783.614043
30.0,870,43853.20417
38.0,961,43928.441064
4.0,267,43948.501569
20.0,725,44006.175525
14.0,599,44053.438445
31.0,832,44120.040285
77.0,1601,44249.58706
21.0,853,44317.16634
77.0,1423,44431.094064
67.0,1053,44515.842506
20.0,577,44560.769765
43.0,934,44635.683843
50.0,889,44706.435306
45.0,1152,44798.821373
42.0,885,44867.004306
53.0,760,44929.404554
63.0,1500,45058.841609
59.0,1282,45173.812697
