#{"t_start": 1529850052.681094, "env_id": "Breakout-ramNoFrameskip-v4"}
r,l,t
0.0,135,2.359519
0.0,137,2.656415
3.0,259,3.172076
0.0,129,3.453342
1.0,188,3.828367
2.0,189,4.234644
1.0,161,4.562792
0.0,135,4.84406
1.0,190,5.234712
0.0,134,5.51598
1.0,174,5.875389
2.0,208,6.312908
2.0,239,6.797317
3.0,238,7.281723
4.0,282,7.875513
2.0,209,8.297417
6.0,410,9.141223
0.0,140,9.438117
1.0,153,9.750638
0.0,144,10.047533
0.0,135,10.34443
2.0,214,10.81321
0.0,136,11.094479
1.0,175,11.453879
0.0,135,11.750782
3.0,264,12.282058
2.0,219,12.735213
4.0,320,13.391508
1.0,182,13.766542
0.0,132,14.047811
2.0,199,14.454078
3.0,217,14.907233
0.0,137,15.188503
3.0,218,15.641668
0.0,128,15.90731
2.0,190,16.297962
2.0,197,16.70423
1.0,191,17.110517
0.0,151,17.423037
1.0,163,17.7668
3.0,234,18.251207
4.0,294,18.845007
1.0,175,19.220022
3.0,242,19.720066
1.0,206,20.141959
2.0,208,20.563864
1.0,169,20.907645
2.0,193,21.313922
2.0,237,21.79833
1.0,157,22.126512
1.0,175,22.485865
1.0,170,22.985899
0.0,150,23.517185
4.0,307,24.595381
0.0,134,25.064163
0.0,132,25.532945
0.0,125,25.986099
1.0,169,26.579899
2.0,219,27.345566
0.0,127,27.798721
0.0,130,28.267502
1.0,155,28.814415
2.0,230,29.611344
3.0,241,30.470774
3.0,237,31.298959
2.0,208,32.017753
1.0,159,32.580291
1.0,186,33.236585
3.0,292,34.252288
2.0,197,34.939824
2.0,201,35.642996
0.0,124,36.080534
3.0,253,36.97121
2.0,204,37.674382
0.0,153,38.236919
0.0,128,38.690085
2.0,194,39.393247
0.0,137,39.924532
1.0,174,40.580836
0.0,130,41.049608
1.0,187,41.721528
2.0,208,42.455952
0.0,131,42.940369
1.0,192,43.612279
0.0,134,44.096687
0.0,127,44.565596
0.0,150,45.096763
0.0,131,45.549908
0.0,127,46.003073
2.0,188,46.674984
0.0,144,47.190643
2.0,207,47.909441
1.0,191,48.581361
3.0,242,49.425168
0.0,135,49.909585
4.0,297,50.95653
3.0,239,51.784701
1.0,175,52.409742
1.0,159,52.97228
0.0,127,53.409809
1.0,176,54.034852
0.0,130,54.503632
0.0,144,55.003676
3.0,266,55.925613
2.0,234,56.753783
0.0,176,57.363199
3.0,243,58.207006
0.0,153,58.972681
1.0,166,59.566471
0.0,141,60.066505
0.0,133,60.535287
0.0,144,61.050946
2.0,224,61.832248
3.0,286,62.832325
0.0,126,63.285471
1.0,162,63.848018
3.0,266,64.785571
0.0,134,65.254353
0.0,146,65.770011
1.0,195,66.457567
0.0,137,66.941974
1.0,163,67.520131
2.0,231,68.348309
1.0,179,68.988977
3.0,299,70.035921
4.0,282,71.020373
1.0,183,71.661031
1.0,186,72.317324
3.0,254,73.208009
3.0,236,74.036189
1.0,181,74.66124
2.0,230,75.473786
0.0,141,75.973819
1.0,167,76.567609
1.0,157,77.11453
2.0,218,77.880315
1.0,172,78.489612
1.0,164,79.067776
9.0,441,80.599138
1.0,173,81.208545
1.0,163,81.786717
2.0,202,82.505516
0.0,146,83.019607
1.0,170,83.629277
1.0,208,84.352872
0.0,139,84.852896
3.0,293,85.868589
6.0,427,87.353073
1.0,175,87.978116
0.0,145,88.493765
1.0,154,89.040676
0.0,133,89.509468
0.0,136,89.993865
2.0,206,90.712673
2.0,224,91.509601
2.0,215,92.259642
1.0,165,92.853441
2.0,233,93.665986
2.0,216,94.416036
0.0,131,94.884818
1.0,174,95.494243
0.0,142,95.994277
3.0,277,96.963081
0.0,134,97.447488
0.0,131,97.900654
2.0,210,98.635068
1.0,197,99.322623
0.0,137,99.822648
1.0,182,100.447699
0.0,131,100.916471
2.0,233,101.744651
0.0,132,102.213443
1.0,180,102.838474
0.0,146,103.354144
2.0,242,104.19795
3.0,224,104.979243
2.0,222,105.760544
0.0,169,106.354345
2.0,215,107.104395
2.0,201,107.823182
4.0,286,108.807623
0.0,173,109.432781
2.0,198,110.120221
2.0,228,110.91714
1.0,187,111.58907
2.0,194,112.260979
2.0,224,113.057908
1.0,178,113.68295
0.0,135,114.151731
3.0,237,114.979913
7.0,347,116.198754
0.0,139,116.68315
0.0,132,117.151942
1.0,173,117.761357
0.0,131,118.21461
2.0,205,118.948928
2.0,211,119.683361
4.0,323,120.808426
1.0,172,121.417842
3.0,234,122.246022
0.0,145,122.761692
1.0,176,123.386724
2.0,225,124.168026
0.0,135,124.652433
0.0,143,125.152467
4.0,296,126.183786
3.0,298,127.230731
0.0,147,127.762016
0.0,138,128.246424
1.0,176,128.871476
4.0,338,130.074671
8.0,482,131.746668
2.0,210,132.496719
0.0,139,132.996742
3.0,261,133.903072
2.0,202,134.62186
0.0,128,135.075007
2.0,205,135.80944
3.0,257,136.747003
7.0,446,138.372101
0.0,130,138.840883
2.0,228,139.637811
3.0,251,140.512869
5.0,354,141.747327
5.0,343,142.997411
0.0,128,143.466192
2.0,190,144.153738
1.0,183,144.794407
0.0,135,145.263187
0.0,127,145.716342
0.0,129,146.169497
0.0,126,146.607027
3.0,249,147.497712
0.0,136,147.997745
0.0,135,148.482157
3.0,232,149.294707
3.0,226,150.091635
7.0,382,151.435487
3.0,234,152.263672
4.0,335,153.451235
3.0,270,154.388797
0.0,146,154.920083
0.0,136,155.40449
0.0,132,155.873281
4.0,317,156.982721
9.0,402,158.404692
0.0,138,158.904725
1.0,167,159.498515
5.0,367,160.77985
2.0,251,161.654909
4.0,320,162.811236
0.0,126,163.264391
9.0,437,164.96763
0.0,148,165.4833
7.0,423,166.967764
0.0,146,167.467798
1.0,206,168.202232
4.0,326,169.327308
0.0,178,169.967965
1.0,226,170.764893
2.0,223,171.546195
0.0,133,172.014987
3.0,237,172.843157
1.0,172,173.452573
0.0,130,173.905729
2.0,205,174.624527
1.0,174,175.249578
3.0,287,176.249645
1.0,224,177.030937
0.0,143,177.530981
1.0,199,178.234153
0.0,146,178.749802
1.0,205,179.4686
1.0,191,180.14052
0.0,131,180.609302
1.0,188,181.265596
1.0,194,181.953151
4.0,340,183.140721
1.0,213,183.890771
1.0,214,184.625205
0.0,152,185.172107
3.0,299,186.219052
2.0,224,187.000354
2.0,221,187.781656
0.0,145,188.297316
0.0,213,189.03174
1.0,176,189.656781
1.0,167,190.250571
0.0,170,190.844361
0.0,174,191.453777
2.0,201,192.172575
2.0,199,192.875747
3.0,252,193.750806
4.0,324,194.875881
0.0,132,195.344662
1.0,218,196.110348
1.0,160,196.672876
0.0,147,197.204162
7.0,410,198.626132
5.0,325,200.032476
1.0,177,200.657517
3.0,238,201.485698
1.0,206,202.204506
0.0,176,202.829538
4.0,366,204.095248
1.0,188,204.767168
1.0,191,205.439098
0.0,162,206.001625
0.0,155,206.548537
3.0,284,207.548614
3.0,328,208.673679
6.0,376,210.001903
4.0,327,211.142594
3.0,229,211.939522
1.0,226,212.73648
1.0,202,213.439623
2.0,224,214.220925
1.0,177,214.845968
0.0,170,215.439756
5.0,386,216.799222
1.0,166,217.377386
8.0,523,219.205643
5.0,394,220.565109
2.0,211,221.299533
3.0,329,222.440247
3.0,283,223.440301
0.0,183,224.08096
3.0,344,225.284165
2.0,299,226.315484
1.0,198,227.00304
5.0,354,228.253124
1.0,181,228.878155
0.0,161,229.440703
0.0,246,230.300126
1.0,176,230.925168
2.0,250,231.800227
4.0,291,232.815919
3.0,264,233.737855
0.0,196,234.425402
3.0,263,235.566113
4.0,335,236.72243
2.0,218,237.488106
0.0,134,237.956898
4.0,365,239.238223
3.0,296,240.269552
1.0,175,240.878968
2.0,244,241.738391
1.0,193,242.410311
5.0,343,243.5979
6.0,337,244.785469
7.0,426,246.254317
4.0,265,247.19188
7.0,426,248.66073
1.0,219,249.426405
0.0,150,249.95769
3.0,329,251.098392
1.0,189,251.770312
2.0,247,252.629755
2.0,231,253.426683
2.0,222,254.207985
1.0,185,254.864269
2.0,235,255.69245
1.0,200,256.395631
0.0,146,256.911291
0.0,156,257.458193
1.0,175,258.083244
3.0,269,259.02084
2.0,222,259.786483
3.0,293,260.817792
1.0,167,261.395966
1.0,250,262.271015
1.0,217,263.021074
1.0,197,263.724236
7.0,321,264.833686
3.0,315,265.943135
2.0,276,266.91196
2.0,234,267.724514
5.0,343,268.92772
7.0,291,269.943412
7.0,423,271.631017
1.0,208,272.365449
9.0,533,274.224939
2.0,207,274.943851
5.0,437,276.47515
4.0,286,277.475156
0.0,205,278.193964
7.0,431,279.694054
5.0,415,281.131661
0.0,194,281.819207
5.0,397,283.209915
7.0,474,284.850649
5.0,427,286.335124
7.0,388,287.678964
6.0,385,289.022803
1.0,179,289.663472
12.0,574,291.647979
1.0,207,292.366817
2.0,251,293.257462
0.0,140,293.741869
4.0,306,294.820067
3.0,212,295.570127
2.0,214,296.320176
1.0,257,297.226478
3.0,276,298.195293
1.0,193,298.867212
3.0,258,299.773523
2.0,225,300.554835
4.0,298,301.60177
1.0,196,302.304952
1.0,193,302.976862
1.0,196,303.664418
2.0,179,304.289449
0.0,148,304.820735
2.0,194,305.71142
2.0,206,306.445845
0.0,217,307.195894
2.0,219,307.96157
7.0,302,309.024141
10.0,408,310.446112
1.0,200,311.149284
0.0,174,311.774326
0.0,162,312.336863
1.0,184,312.977541
3.0,256,313.883842
0.0,266,314.805779
0.0,216,315.571455
0.0,262,316.477765
5.0,406,317.899735
2.0,249,318.774804
3.0,284,319.759245
2.0,339,320.946815
7.0,251,321.821882
1.0,250,322.696941
0.0,144,323.212591
0.0,127,323.665746
7.0,475,325.322107
3.0,241,326.165914
1.0,224,326.947218
3.0,250,327.822274
1.0,167,328.416065
3.0,310,329.494262
0.0,126,329.947426
1.0,299,330.994362
3.0,256,331.885056
3.0,254,332.760105
1.0,268,333.697667
7.0,280,334.682108
2.0,403,336.088452
1.0,196,336.775998
1.0,182,337.416666
0.0,132,337.885447
2.0,279,338.869888
0.0,142,339.369931
0.0,132,339.838703
0.0,124,340.276232
7.0,252,341.151291
1.0,160,341.713829
1.0,152,342.26074
3.0,213,342.995176
7.0,255,343.901477
4.0,352,345.120307
0.0,122,345.557836
1.0,170,346.151625
1.0,216,346.917311
2.0,537,348.776801
2.0,200,349.479972
