mean 100 episode reward,episodes,% time spent exploring,steps
1.2,100,82,17993
1.5,200,62,37591
1.5,300,42,58020
1.9,400,19,81066
2.0,500,1,113420
1.9,600,1,143418
1.6,700,1,202942
1.9,800,1,283659
2.0,900,1,318504
2.9,1000,1,360028
3.5,1100,1,409525
3.4,1200,1,462381
3.1,1300,1,508350
3.4,1400,1,544643
3.0,1500,1,577419
4.1,1600,1,622388
3.5,1700,1,674901
4.2,1800,1,728382
2.3,1900,1,776620
3.2,2000,1,832223
4.2,2100,1,879120
4.3,2200,1,919015
3.5,2300,1,948832
