#{"t_start": 1529853755.3822033, "env_id": "Breakout-ramNoFrameskip-v4"}
r,l,t
1.0,184,2.469513
0.0,149,2.782044
1.0,159,3.11019
1.0,168,3.453953
1.0,188,3.844604
2.0,189,4.235255
2.0,195,4.641533
0.0,134,4.922802
1.0,181,5.297827
1.0,164,5.641601
1.0,170,6.000998
0.0,132,6.282267
0.0,140,6.579162
1.0,162,6.907319
0.0,140,7.204204
0.0,134,7.485475
0.0,151,7.797994
1.0,181,8.173019
2.0,208,8.594922
1.0,189,8.985574
0.0,134,9.266842
1.0,179,9.641867
2.0,188,10.032518
1.0,170,10.391918
2.0,214,10.829447
0.0,136,11.110716
0.0,147,11.423236
2.0,230,11.892018
2.0,188,12.282679
3.0,260,12.813955
2.0,210,13.251483
0.0,128,13.517128
1.0,183,13.892162
4.0,280,14.470315
1.0,178,14.84534
0.0,138,15.126608
0.0,131,15.407888
2.0,215,15.845407
0.0,129,16.11105
0.0,131,16.392318
0.0,124,16.657961
1.0,179,17.017432
1.0,204,17.45489
1.0,163,17.783037
3.0,263,18.314323
3.0,254,18.845618
0.0,136,19.142503
2.0,208,19.564405
0.0,133,19.845797
1.0,164,20.189448
2.0,201,20.595724
2.0,214,21.033254
2.0,190,21.423905
1.0,172,21.783304
1.0,166,22.127077
1.0,158,22.455224
1.0,169,22.814623
1.0,201,23.611552
1.0,173,24.236606
1.0,183,24.877261
1.0,184,25.533556
0.0,139,26.017964
0.0,136,26.50237
1.0,173,27.127412
0.0,130,27.580568
0.0,143,28.096227
0.0,141,28.596268
1.0,185,29.252554
1.0,179,29.877605
4.0,268,30.81517
0.0,134,31.299566
3.0,255,32.190251
1.0,201,32.909058
0.0,145,33.424709
2.0,235,34.252889
2.0,200,34.95607
0.0,130,35.409216
2.0,218,36.19052
0.0,126,36.643674
1.0,182,37.284365
0.0,132,37.737507
1.0,172,38.346922
2.0,208,39.081336
2.0,205,39.800134
2.0,197,40.487691
1.0,180,41.128348
1.0,198,41.815905
2.0,206,42.550319
3.0,264,43.472255
0.0,133,43.941037
4.0,289,44.95673
3.0,236,45.784911
1.0,178,46.409962
0.0,136,46.894359
2.0,206,47.628783
1.0,182,48.269451
2.0,207,49.019501
0.0,135,49.503909
2.0,207,50.222822
0.0,137,50.707114
0.0,132,51.175896
0.0,137,51.660302
0.0,139,52.160337
3.0,241,53.004157
5.0,297,54.051098
3.0,263,54.973035
0.0,144,55.488687
1.0,188,56.144988
1.0,159,56.707516
0.0,177,57.332558
2.0,218,58.098234
5.0,356,59.567082
2.0,236,60.395262
1.0,193,61.082809
1.0,175,61.692225
0.0,135,62.176642
2.0,210,62.926816
1.0,177,63.551723
0.0,137,64.036132
0.0,137,64.520538
2.0,203,65.239337
1.0,193,65.911267
3.0,251,66.801942
1.0,162,67.380104
5.0,334,68.536432
3.0,283,69.5365
1.0,180,70.161541
5.0,333,71.333503
0.0,127,71.78665
1.0,196,72.474195
1.0,172,73.067986
1.0,184,73.72428
0.0,145,74.239938
1.0,172,74.849365
3.0,276,75.818178
0.0,139,76.318213
0.0,129,76.771359
0.0,139,77.271392
2.0,203,77.990191
2.0,185,78.646483
1.0,183,79.287151
4.0,348,80.505993
0.0,127,80.943512
0.0,157,81.521676
0.0,144,82.021709
1.0,176,82.662388
4.0,308,83.740574
1.0,183,84.381242
0.0,134,84.86565
5.0,355,86.115734
0.0,165,86.693897
2.0,218,87.443947
1.0,161,88.02212
2.0,216,88.772161
0.0,125,89.225317
0.0,140,89.72535
0.0,137,90.209756
0.0,154,90.756679
1.0,178,91.381721
1.0,209,92.116134
0.0,144,92.631804
3.0,272,93.584983
1.0,187,94.444425
0.0,142,94.94445
1.0,196,95.631994
1.0,178,96.257046
0.0,124,96.710202
1.0,173,97.319607
3.0,273,98.272806
2.0,225,99.069724
0.0,127,99.52288
0.0,151,100.054165
0.0,136,100.538573
1.0,177,101.163615
3.0,293,102.195029
0.0,142,102.679341
2.0,212,103.429391
0.0,138,103.929435
1.0,168,104.523224
1.0,188,105.179569
1.0,167,105.773299
2.0,184,106.429602
2.0,201,107.132773
0.0,158,107.679675
2.0,205,108.4141
0.0,148,108.929769
0.0,145,109.445479
0.0,131,109.914211
2.0,229,110.711138
3.0,309,111.789326
1.0,188,112.461245
2.0,208,113.19567
5.0,358,114.445763
0.0,149,114.977038
1.0,166,115.555212
2.0,217,116.336515
3.0,269,117.274069
1.0,171,117.867857
1.0,159,118.430404
1.0,173,119.039821
1.0,184,119.696115
2.0,237,120.524294
3.0,282,121.508725
0.0,171,122.118142
1.0,189,122.790062
1.0,183,123.43073
0.0,166,124.024528
0.0,130,124.477675
0.0,139,124.977708
0.0,143,125.493368
0.0,138,125.977775
0.0,127,126.43093
1.0,208,127.165354
3.0,280,128.149794
0.0,151,128.681089
3.0,229,129.478009
0.0,144,129.993668
0.0,159,130.556215
0.0,153,131.087491
2.0,227,131.900046
1.0,172,132.509462
1.0,166,133.087625
1.0,185,133.743919
2.0,180,134.36897
1.0,177,135.009629
2.0,194,135.68155
0.0,153,136.228471
0.0,153,136.775372
2.0,204,137.494171
1.0,194,138.166092
1.0,169,138.775506
1.0,187,139.447425
0.0,159,140.009973
1.0,165,140.588137
0.0,159,141.150664
1.0,172,141.76008
3.0,262,142.682017
2.0,220,143.463319
1.0,191,144.135239
1.0,170,144.744655
2.0,225,145.525957
1.0,184,146.182261
0.0,165,146.760425
4.0,290,147.77612
0.0,134,148.24489
0.0,137,148.729306
4.0,342,149.932512
2.0,199,150.65131
1.0,161,151.213847
8.0,388,152.573304
0.0,152,153.104599
2.0,207,153.839023
6.0,376,155.151602
2.0,196,155.839147
1.0,218,156.604823
0.0,143,157.120483
1.0,207,157.854906
1.0,208,158.589341
0.0,139,159.073739
1.0,183,159.714406
1.0,187,160.386326
1.0,153,160.933238
1.0,159,161.495786
2.0,226,162.277088
3.0,268,163.230277
1.0,185,163.870944
0.0,132,164.339717
2.0,223,165.121018
2.0,202,165.839826
0.0,131,166.308598
0.0,150,166.839884
0.0,159,167.402421
3.0,232,168.230601
1.0,205,168.949401
0.0,138,169.449433
3.0,293,170.465135
3.0,244,171.324568
1.0,195,172.012104
1.0,180,172.652782
0.0,140,173.168432
3.0,282,174.152873
1.0,190,174.824792
4.0,309,175.902999
1.0,186,176.559294
1.0,202,177.278081
1.0,173,177.887507
7.0,436,179.403223
1.0,184,180.059526
2.0,218,180.825194
4.0,319,181.934643
2.0,224,182.73157
0.0,147,183.24723
1.0,178,183.887898
4.0,291,184.903592
1.0,198,185.591137
4.0,346,186.809968
1.0,201,187.513141
8.0,397,188.903869
0.0,150,189.435144
2.0,234,190.263324
1.0,155,190.810236
1.0,157,191.372784
4.0,296,192.404093
0.0,154,192.951015
1.0,183,193.591673
3.0,250,194.482367
0.0,131,194.951139
3.0,275,195.919955
0.0,126,196.373204
1.0,203,197.076282
4.0,347,198.295112
0.0,134,198.779522
1.0,186,199.435814
1.0,165,200.263993
2.0,206,200.998428
5.0,355,202.248502
1.0,184,202.88918
0.0,131,203.357951
0.0,178,203.983003
0.0,137,204.4674
2.0,238,205.29558
1.0,171,205.904996
11.0,521,207.717628
1.0,214,208.467668
5.0,340,209.655257
0.0,161,210.217785
5.0,375,211.530372
