steps,episodes,% time spent exploring,mean 100 episode reward
3292,100,99,0.3
6565,200,99,0.2
9985,300,99,0.3
13502,400,98,0.3
17100,500,98,0.3
20214,600,97,0.2
23318,700,97,0.2
26479,800,97,0.2
29855,900,97,0.3
33204,1000,96,0.3
36742,1100,96,0.3
40437,1200,95,0.3
43845,1300,95,0.3
47530,1400,95,0.4
51025,1500,94,0.3
54580,1600,94,0.3
58337,1700,94,0.4
61955,1800,93,0.3
65511,1900,93,0.3
69432,2000,93,0.4
72835,2100,92,0.3
