#{"t_start": 1529764731.3915243, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,157,9.229059
2.0,203,10.257468
0.0,129,10.878114
2.0,202,11.9485
2.0,223,13.074855
1.0,176,13.955352
0.0,127,14.565001
1.0,173,15.425506
1.0,175,16.285015
0.0,127,16.969623
0.0,127,17.58827
2.0,198,18.611682
2.0,200,19.601115
1.0,153,20.346688
2.0,224,21.461049
2.0,200,22.532436
2.0,227,23.672783
0.0,127,24.278436
4.0,319,25.887514
0.0,127,26.580838
0.0,127,27.240459
0.0,129,27.941058
1.0,176,28.813562
0.0,127,29.431206
2.0,203,30.453619
2.0,222,31.577974
0.0,127,32.249589
0.0,127,32.853244
1.0,175,33.76872
1.0,169,34.603241
1.0,171,35.454755
2.0,198,36.432194
2.0,198,37.414631
2.0,201,38.419055
2.0,199,39.45746
2.0,226,40.600805
3.0,272,41.978016
1.0,178,42.858511
2.0,201,43.959885
0.0,129,44.611506
0.0,129,45.289119
4.0,302,46.821241
2.0,202,47.864643
1.0,157,48.669184
2.0,202,49.817529
2.0,222,51.226193
0.0,125,51.91181
1.0,157,52.745331
1.0,173,53.689339
2.0,204,54.739736
2.0,198,55.802127
0.0,129,56.433766
0.0,125,57.045417
0.0,125,57.64807
9.0,424,59.907776
2.0,200,61.05012
0.0,125,61.666768
2.0,203,62.739153
0.0,123,63.352802
1.0,175,66.532253
1.0,157,76.485551
0.0,129,85.726256
1.0,155,96.526067
4.0,323,121.565762
3.0,249,139.242634
1.0,155,149.795588
0.0,129,157.865963
1.0,155,167.494448
1.0,173,178.506139
2.0,199,193.623062
0.0,127,203.490459
0.0,129,213.471378
4.0,302,235.437795
2.0,222,250.72048
0.0,127,259.792772
6.0,381,291.364015
2.0,206,306.68124
1.0,175,321.866351
0.0,129,331.617429
1.0,175,347.011161
0.0,127,358.574529
0.0,127,366.835795
3.0,248,390.031549
4.0,286,416.149113
1.0,174,428.394097
2.0,203,446.407354
1.0,175,458.84323
0.0,127,468.575959
1.0,174,482.101679
0.0,127,492.030991
0.0,125,502.153697
1.0,169,516.143185
2.0,183,529.792893
0.0,129,539.102558
4.0,299,568.194021
4.0,277,596.607339
7.0,398,637.950475
1.0,171,651.196885
1.0,159,664.238412
2.0,198,680.534073
0.0,127,690.7842
0.0,129,702.142694
1.0,155,715.959818
0.0,129,727.334302
0.0,125,737.460498
2.0,204,760.159592
0.0,127,774.930256
3.0,237,798.593536
2.0,206,815.541335
0.0,125,825.507624
1.0,158,839.308735
2.0,200,854.333636
2.0,203,870.15358
2.0,224,889.679008
1.0,157,902.863038
0.0,125,912.514024
1.0,173,926.486197
0.0,129,936.418505
0.0,125,945.886083
8.0,338,973.352928
1.0,174,987.148063
2.0,204,1004.628333
2.0,229,1024.013114
0.0,129,1034.243624
1.0,174,1047.563989
0.0,127,1057.287926
0.0,127,1066.49465
9.0,402,1097.484894
1.0,169,1109.226166
0.0,127,1117.416474
1.0,155,1128.85792
3.0,230,1146.53779
0.0,129,1156.133291
0.0,127,1165.219086
0.0,129,1174.401826
1.0,155,1185.676957
0.0,129,1196.454781
0.0,127,1207.759877
1.0,155,1219.100378
2.0,184,1243.437791
1.0,155,1259.024966
1.0,176,1273.116891
2.0,222,1290.635855
1.0,157,1303.522469
9.0,362,1341.839546
2.0,220,1359.37201
1.0,155,1371.607815
0.0,127,1383.431217
0.0,129,1393.383727
2.0,220,1410.878219
0.0,127,1421.168101
0.0,125,1430.515253
1.0,157,1442.991098
1.0,169,1457.065076
3.0,252,1478.801621
1.0,176,1493.353058
0.0,129,1503.811596
0.0,127,1514.717959
0.0,129,1525.086176
0.0,129,1537.287248
3.0,270,1562.409425
0.0,129,1574.510493
0.0,129,1587.459366
2.0,201,1606.704952
1.0,174,1622.801079
0.0,127,1634.65303
3.0,252,1659.034712
2.0,205,1677.302246
1.0,173,1694.386458
0.0,127,1705.149291
0.0,127,1715.499364
3.0,253,1742.178499
2.0,200,1763.169454
2.0,201,1780.867396
1.0,157,1794.131306
1.0,171,1808.940352
1.0,173,1824.423153
0.0,127,1833.952718
2.0,208,1850.602686
3.0,250,1871.507827
2.0,188,1887.66341
0.0,129,1898.03347
2.0,224,1916.530871
0.0,127,1926.777001
1.0,175,1940.445185
1.0,175,1954.645049
2.0,185,1968.928373
4.0,278,1993.780426
2.0,202,2011.056846
1.0,155,2024.181854
1.0,153,2036.335113
1.0,155,2049.099832
0.0,125,2059.453405
